inc_quintile,total_donated,percent_donated,total_population,percent_population,count_donors,percent_donors
1,27766507.94,0.081688321,3397353,0.177061241,45267,0.086003017
2,25870458.7,0.076110195,3858957,0.201118846,68601,0.130335409
3,40972787.28,0.12054084,3731823,0.194492951,90896,0.1726938
4,60818433.65,0.178926198,3869075,0.20164617,119383,0.226816405
5,184479742.3,0.542734447,4330238,0.225680791,202195,0.384151369
,,,,,,
Total,339907929.9,0.721660645,19187446,,526342,
,,,,,,
20%,67981585.98,,,,,
